|Исполнение|Тип накопителя|Назначение|Объем|Форм-фактор|Интерфейсы подключения|Объем буфера обмена|Частота вращения шпинделя|Кол-во пластин|Среднее время поиска|Потребляемая мощность при ожидании|Ударостойкость при работе|Уровень шума в режиме ожидания|Наработка на отказ|Гарантия производителя|Потребляемая мощность при работе|Уровень шума при чтении|Функции и возможности|Пыле-,влагозащита|Стандарт защиты MIL-STD-810|Источник питания (внешние)|Корпус|Размеры|Вес|Объем кеш-памяти NAND|Метод записи|Скорость передачи данных|Маркировка производителя|Гелиевый|Код EAN / UPS / GTIN|Чехол в комплекте
Seagate Savvio 10K.3 ST9146803SS ST9146803SS|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS|16 МБ|10000 об/мин|1 шт|4 мс|3.2 Вт|60 G|31 дБ|1.6 млн. ч|||||||||||||||||
Seagate Savvio 10K.3 ST9300603SS ST9300603SS|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS|16 МБ|10000 об/мин|2 шт|4 мс|3.5 Вт|60 G|31 дБ|1.6 млн. ч|||||||||||||||||
Seagate Barracuda 7200.12 ST31000524AS ST31000524AS|встраиваемый|HDD|для ПК|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|32 МБ|7200 об/мин||9 мс|5 Вт|70 G|25 дБ|0.75 млн. ч|2 года|9.4 Вт|27 дБ||||||||||||||
Seagate Savvio 15K.2 ST9146852SS ST9146852SS|встраиваемый|HDD|для сервера|146 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин||3 мс|4.4 Вт|20 G||1.6 млн. ч|3 года|7.2 Вт|||||||||||||||
Seagate Barracuda ST31000528AS ST31000528AS|встраиваемый|HDD|для ПК|1000 ГБ|"3.5 """|SATA, SATA 2|32 МБ|7200 об/мин||9 мс|5 Вт|70 G|25 дБ|0.75 млн. ч|5 лет|9.4 Вт|27 дБ||||||||||||||
Seagate Barracuda Green ST32000542AS ST32000542AS|встраиваемый|HDD|для ПК|2000 ГБ|"3.5 """|SATA, SATA 2|32 МБ|5900 об/мин||16 мс|5.5 Вт|70 G|25 дБ|50 тыс. раз||6.8 Вт|26 дБ|режим экономии энергии|||||||||||||
"Seagate Momentus 2.5"" ST9500420AS ST9500420AS"|встраиваемый|HDD|для ПК|500 ГБ|"2.5 """|SATA, SATA 2|16 МБ|7200 об/мин||14 мс|0.67 Вт|350 G|23 дБ|600 тыс. раз||1.55 Вт|25 дБ||||||||||||||
Seagate Momentus XT ST95005620AS ST95005620AS|встраиваемый|HDD|для ПК|500 ГБ|"2.5 """|SATA, SATA 2|32 МБ|7200 об/мин||11 мс|0.8 Вт|350 G|23 дБ|600 тыс. раз||1.55 Вт|25 дБ||||||||||||||
"Seagate Constellation 2.5"" ST9500530NS ST9500530NS"|встраиваемый|HDD|для сервера|500 ГБ|"2.5 """|SATA, SATA 2|32 МБ|7200 об/мин||9 мс|2.6 Вт|70 G||1.2 млн. ч||3.5 Вт||режим экономии энергии|||||||||||||
Seagate Constellation ES ST31000524NS ST31000524NS|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2|32 МБ|7200 об/мин||9 мс|5 Вт|70 G|22 дБ|1.2 млн. ч||9.8 Вт|||||||||||||||
Seagate Constellation ES ST32000644NS ST32000644NS|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2|64 МБ|7200 об/мин||9 мс|7 Вт|70 G|22 дБ|1.2 млн. ч||11.2 Вт|||||||||||||||
Seagate Constellation ES ST32000444SS ST32000444SS|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS|16 МБ|7200 об/мин||9 мс|8 Вт|70 G|27 дБ|1.2 млн. ч||12.2 Вт|||||||||||||||
Seagate Constellation ES ST31000424SS ST31000424SS|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS|16 МБ|7200 об/мин||9 мс|6 Вт|70 G|22 дБ|1.2 млн. ч||10.8 Вт|||||||||||||||
Seagate Constellation ES ST3500414SS ST3500414SS|встраиваемый|HDD|для сервера|500 ГБ|"3.5 """|SAS|16 МБ|7200 об/мин||9 мс|5.6 Вт|70 G|19 дБ|1.2 млн. ч||10.4 Вт|||||||||||||||
Seagate Cheetah 15K.6 ST3146356SS ST3146356SS|встраиваемый|HDD|для ПК|146 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин|2 шт|3 мс|9.6 Вт|25 G|36 дБ|1.6 млн. ч||14.4 Вт|||||||||||||||
Seagate Cheetah 15K.6 ST3300656SS ST3300656SS|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин|3 шт|3 мс|11.1 Вт|25 G|36 дБ|1.6 млн. ч||15.8 Вт|||||||||||||||
Seagate Cheetah 15K.6 ST3450856SS ST3450856SS|встраиваемый|HDD|для сервера|450 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин|4 шт|3 мс|11.68 Вт|25 G|36 дБ|1.6 млн. ч||16.35 Вт|||||||||||||||
Seagate Barracuda ST3750330NS ST3750330NS|встраиваемый|HDD|для ПК|750 ГБ|"3.5 """|SATA, SATA 2|32 МБ|7200 об/мин||9 мс|||||5 лет||||||||||||||||
"Seagate Constellation 2.5"" ST9500620SS ST9500620SS"|встраиваемый|HDD|для сервера|500 ГБ|"2.5 """|SAS|64 МБ|7200 об/мин||8 мс|3.2 Вт|25 G||1.4 млн. ч||5.5 Вт||режим экономии энергии|||||||||||||
Seagate Savvio 10K.4 ST9600204SS ST9600204SS|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS|16 МБ|10000 об/мин||4 мс|4.6 Вт|40 G||2 млн. ч||8.3 Вт|||||||||||||||
Seagate Constellation ES ST2000NM0011 ST2000NM0011|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||9 мс|6.4 Вт|70 G||1.2 млн. ч||9 Вт|||||||||||||||
Seagate Constellation ES ST1000NM0011 ST1000NM0011|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||9 мс|4.6 Вт|70 G||1.2 млн. ч||6.2 Вт|||||||||||||||
Seagate Constellation ES.2 ST33000650NS ST33000650NS|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||9 мс|7.7 Вт|70 G||1.2 млн. ч|5 лет|10.7 Вт|||||||||||||||
Seagate Constellation ES.2 ST33000650SS ST33000650SS|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SAS|64 МБ|7200 об/мин||9 мс|6.4 Вт|70 G||1.2 млн. ч|5 лет|9 Вт|||||||||||||||
Seagate Constellation ES ST500NM0011 ST500NM0011|встраиваемый|HDD|для сервера|500 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||9 мс|4.6 Вт|70 G||1.2 млн. ч||6.2 Вт|||||||||||||||
Seagate Savvio 10K.5 ST9900805SS ST9900805SS|встраиваемый|HDD|для сервера|900 ГБ|"3.5 """|SAS|64 МБ|10000 об/мин|3 шт|3 мс|4.4 Вт|40 G||2 млн. ч||7.2 Вт|||||||||||||||
Seagate Savvio 10K.5 ST9300605SS ST9300605SS|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS|64 МБ|10000 об/мин|1 шт|3 мс|4.4 Вт|40 G||2 млн. ч||7.2 Вт|||||||||||||||
Seagate Savvio 10K.5 ST9450405SS ST9450405SS|встраиваемый|HDD|для сервера|450 ГБ|"3.5 """|SAS|64 МБ|10000 об/мин|2 шт|3 мс|4.4 Вт|40 G||2 млн. ч||7.2 Вт|||||||||||||||
Seagate Savvio 10K.5 ST9600205SS ST9600205SS|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS|64 МБ|10000 об/мин|2 шт|3 мс|4.4 Вт|40 G||2 млн. ч||7.2 Вт|||||||||||||||
Seagate Constellation ES ST2000NM0001 ST2000NM0001|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS|64 МБ|7200 об/мин||9 мс|6.4 Вт|70 G||1.2 млн. ч||9 Вт|||||||||||||||
Seagate Barracuda 7200.14 ST1500DM003 ST1500DM003|встраиваемый|HDD|для ПК|1500 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|2 шт|9 мс|0.75 Вт|||300 тыс. раз|2 года|6.7 Вт|||||||||||||||
Seagate Barracuda 7200.14 ST750DM003 ST750DM003|встраиваемый|HDD|для ПК|750 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|1 шт|11 мс|0.6 Вт|||300 тыс. раз|2 года|6 Вт|||||||||||||||
A-Data HD710 AHD710-1TU3 AHD710-1TU3|внешний|HDD|для ПК|1000 ГБ|"2.5 """|USB 3.2 gen1||5400 об/мин|||||||3 года|||ударостойкий корпус / MIL-STD-810G /|Есть|Есть|USB порт|прорезиненный|132x99x22 мм|220 г|||||||
Seagate SV35 ST3000VX000 ST3000VX000|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|3 шт|9 мс|0.75 Вт|63 G|27 дБ|300 тыс. раз|3 года|8 Вт|28 дБ||||||||||||||
Seagate Constellation ES.2 ST32000645NS ST32000645NS|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||9 мс|7.7 Вт|70 G||1.2 млн. ч|5 лет|10.7 Вт|||||||||||||||
Seagate Constellation ES.2 ST32000645SS ST32000645SS|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS|64 МБ|7200 об/мин||9 мс|6.4 Вт|70 G||1.2 млн. ч|5 лет|9 Вт|||||||||||||||
"Seagate Momentus 2.5"" ST9500423AS ST9500423AS"|встраиваемый|HDD|для ПК|500 ГБ|"2.5 """|SATA, SATA 2|16 МБ|7200 об/мин||4 мс|0.7 Вт|350 G|23 дБ|600 тыс. раз||1.5 Вт|25 дБ||||||||||||||
Seagate Constellation CS ST2000NC001 ST2000NC001|встраиваемый|HDD|для ПК|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||4 мс|||||||||||||||||||||
Seagate Constellation CS ST3000NC002 ST3000NC002|встраиваемый|HDD|для ПК|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||4 мс|||||||||||||||||||||
Seagate Constellation ES ST1000NM0001 ST1000NM0001|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS|64 МБ|7200 об/мин||9 мс||70 G||1.2 млн. ч||8 Вт|||||||||||||||
Seagate Constellation ES ST500NM0001 ST500NM0001|встраиваемый|HDD|для сервера|500 ГБ|"3.5 """|SAS|64 МБ|7200 об/мин||9 мс||70 G||1.2 млн. ч||8 Вт|||||||||||||||
"Seagate Constellation.2 2.5"" ST91000640SS ST91000640SS"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS|64 МБ|7200 об/мин||9 мс|3.8 Вт|70 G|3 дБ|1.4 млн. ч||6.4 Вт|28 дБ||||||||||||||
Seagate Constellation CS ST1000NC001 ST1000NC001|встраиваемый|HDD|для ПК|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин||4 мс|||||||||||||||||||||
Seagate NAS HDD ST3000VN000 ST3000VN000|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA 2, SATA 3|64 МБ|5900 об/мин|||3.9 Вт|300 G|23 дБ|1 млн. ч|3 года|4.8 Вт|25 дБ||||||||||||||
Seagate NAS HDD ST4000VN000 ST4000VN000|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA 2, SATA 3|64 МБ|5900 об/мин|||3.9 Вт|300 G|23 дБ|1 млн. ч|3 года|4.8 Вт|25 дБ||||||||||||||
Seagate Desktop SSHD ST1000DX001 ST1000DX001|встраиваемый|SSHD|для ПК|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|1 шт|9 мс|3.4 Вт|||300 тыс. раз|3 года|6 Вт||||||||400 г|8 ГБ||||||
Seagate Desktop SSHD ST2000DX001 ST2000DX001|встраиваемый|SSHD|для ПК|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|2 шт|10 мс|4.5 Вт|||300 тыс. раз|3 года|6.7 Вт||||||||535 г|8 ГБ||||||
Seagate Desktop SSHD ST4000DX001 ST4000DX001|встраиваемый|SSHD|для ПК|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|5900 об/мин|4 шт|12 мс|6.2 Вт|||300 тыс. раз|3 года|7.5 Вт||||||||610 г|8 ГБ||||||
Seagate Barracuda ST31000340NS ST31000340NS|встраиваемый|HDD|для ПК|1000 ГБ|"3.5 """|SATA, SATA 2|32 МБ|7200 об/мин|4 шт|9 мс||70 G||50 тыс. раз|5 лет|||||||||677 г|||||||
"Seagate Momentus 2.5"" ST9500424AS ST9500424AS"|встраиваемый|HDD|для ПК|500 ГБ|"2.5 """|SATA, SATA 2|16 МБ|7200 об/мин|2 шт|4 мс|0.7 Вт|350 G||50 тыс. раз||2.5 Вт||||||||115 г|||||||
WD Black2 WD1001X06XDTL 1001X06XDTL|встраиваемый|HDD|для ПК|1000 ГБ / + 120 ГБ SSD /|"2.5 """|SATA, SATA 2, SATA 3, USB 2.0, USB 3.2 gen1|||2 шт||1 Вт|30 G|20 дБ|600 тыс. раз||2 Вт|21 дБ||||||70х100х9.5 мм|125 г|||||||
Seagate Barracuda ST3500630NS ST3500630NS|встраиваемый|HDD|для ПК|500 ГБ|"3.5 """|SATA, SATA 2|16 МБ|7200 об/мин|||9.3 Вт|63 G|||5 лет|13 Вт|27 дБ||||||147x102x26 мм|720 г|||||||
Seagate Barracuda ST3750640NS ST3750640NS|встраиваемый|HDD|для ПК|750 ГБ|"3.5 """|SATA, SATA 2|16 МБ|7200 об/мин|4 шт||9.3 Вт|63 G|||5 лет|13 Вт|32 дБ||||||147x102x26 мм|720 г|||||||
WD NasWare Red WD60EFRX 60EFRX|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|5400 об/мин|||3.4 Вт|65 G|25 дБ|1 млн. ч|3 года|5.3 Вт|28 дБ|||||||||CMR|||||
Seagate Enterprise NAS HDD ST2000VN0001 ST2000VN0001|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин|||0.6 Вт|||1.2 млн. ч|5 лет|6.4 Вт|||||||147x101.85x26 мм||||||||
Seagate Enterprise NAS HDD ST3000VN0001 ST3000VN0001|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин|||0.6 Вт|||1.2 млн. ч|5 лет|6.7 Вт|||||||147x101.6x26 мм|635 г|||||||
Seagate Enterprise NAS HDD ST4000VN0001 ST4000VN0001|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин|||6 Вт|300 G|26 дБ|1.2 млн. ч|5 лет|9.42 Вт|27 дБ||||||147x101.85x26 мм|635 г|||||||
Seagate Enterprise NAS HDD ST6000VN0001 ST6000VN0001|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин|||6.9 Вт|250 G||1.2 млн. ч|5 лет|9 Вт|||||||147x101.85x26 мм|780 г|||||||
"HP Midline SATA 2.5"" 507750-B21 507750-B21"|встраиваемый|HDD|для сервера|500 ГБ|"2.5 """|SATA, SATA 2||7200 об/мин|||||||||||||||||||||||
HP Server SAS 516828-B21 516828-B21|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"HP Midline SAS 2.5"" 605835-B21 605835-B21"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||138x78x16 мм|450 г|||||||
"HP Midline SATA 2.5"" 625609-B21 625609-B21"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SATA, SATA 2||7200 об/мин|||||||||||||||76x137x16 мм||||||||
HP Server SAS 652615-B21 652615-B21|встраиваемый|HDD|для сервера|450 ГБ|"3.5 """|SAS||15000 об/мин||4 мс|||||||||||||||||||||
HP Server SAS 652620-B21 652620-B21|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS||15000 об/мин||4 мс|||||||||||||||||||||
"HP Midline SAS 2.5"" 652745-B21 652745-B21"|встраиваемый|HDD|для сервера|500 ГБ|"2.5 """|SAS||7200 об/мин||9 мс|||||||||||||119x76x16 мм||||||||
"HP Midline SAS 2.5"" 652749-B21 652749-B21"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS||7200 об/мин||9 мс|||||||||||||76x119x16 мм||||||||
HP Server SAS 737394-B21 737394-B21|встраиваемый|HDD|для сервера|450 ГБ|"3.5 """|SAS|8 МБ|15000 об/мин||3 мс|||||||||||||106x27x170 мм|1360 г|||||||
HP Server SAS 793669-B21 793669-B21|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
HP Server SAS 793671-B21 793671-B21|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
HP Server SAS AP859A AP859A|встраиваемый|HDD|для сервера|450 ГБ|"3.5 """|SAS||15000 об/мин||||||1.7 млн. ч|||||||||||||||||
HP Server SAS AP861A AP861A|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
HP Server SAS AW555A AW555A|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS|64 МБ|7200 об/мин||9 мс|||||||||||||||||||||
HP Server SAS AW590A AW590A|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS|64 МБ|7200 об/мин||9 мс|||||||||||||||||||||
HP Server SAS J9V70A J9V70A|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин|||||||||||||||||||||||
Dell SAS 400-AEGC 400-AEGC|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 400-26604 400-26604|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS|64 МБ|7200 об/мин||4 мс|||||||||||||||||||||
Dell SATA 400-26650 400-26650|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2|64 МБ|7200 об/мин||4 мс|||||||||||||||||||||
Dell SAS 400-AJPH 400-AJPH|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-22929 400-22929"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS|16 МБ|10000 об/мин|||||||||||||||||||||||
"HP Server SATA 2.5"" 765453-B21 765453-B21"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SATA, SATA 2, SATA 3||7200 об/мин||7 мс|||||||||||||||||||||
HP Server SAS 737261-B21 737261-B21|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS||15000 об/мин||6 мс|||||||||||||106x170x27 мм||||||||
HP Server SAS 765424-B21 765424-B21|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS||15000 об/мин||6 мс|||||||||||||106x170x27 мм||||||||
HP Server SAS 793699-B21 793699-B21|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS||7200 об/мин||9 мс|||||||||||||106x170x27 мм||||||||
HP Server SAS 737392-B21 737392-B21|встраиваемый|HDD|для ПК|450 ГБ|"3.5 """|SAS||15000 об/мин||3 мс|||||||||||||189x111x26 мм||||||||
HP Server SAS 516816-B21 516816-B21|встраиваемый|HDD|для сервера|450 ГБ|"3.5 """|SAS||15000 об/мин||4 мс|||||||||||||189x111x26 мм||||||||
HP Server SAS AP871A AP871A|встраиваемый|HDD|для сервера|450 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Dell SAS 400-19339 400-19339|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Dell SAS 400-20613 400-20613|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Dell SAS 400-23133 400-23133|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 400-23135 400-23135|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 400-AEEJ 400-AEEJ|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AEES 400-AEES"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Dell SAS 400-AEFI 400-AEFI|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SATA 400-AEGK 400-AEGK|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SAS 037MGT 037MGT|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS||7200 об/мин||9 мс|||||||||||||||||||||
HP Server SAS 459508-B21 459508-B21|встраиваемый|HDD|для сервера|400 ГБ|"3.5 """|SAS||10000 об/мин||4 мс|||||||||||||||||||||
HP Server SAS 516814-B21 516814-B21|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS||15000 об/мин||4 мс|||||||||||||||||||||
HP MSA SATA AJ738A AJ738A|встраиваемый|HDD|для сервера|500 ГБ|"3.5 """|SATA, SATA 2||7200 об/мин||9 мс|||||||||||||||||||||
HP Server SAS AP860A AP860A|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS|8 МБ|15000 об/мин|||||||||||||||||||||||
HP Server SAS C8S58A C8S58A|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"Seagate Enterprise Capacity HDD 2.5"" ST2000NX0303 ST2000NX0303"|встраиваемый|HDD|для сервера|2000 ГБ|"2.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин|5 шт|4 мс||25 G||1.4 млн. ч|5 лет||||||||||||||||
"Seagate Enterprise Performance 15K 2.5"" ST300MP0005 ST300MP0005"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS|128 МБ|15000 об/мин|2 шт|2 мс|4.8 Вт|40 G||2 млн. ч|5 лет|8.4 Вт|||||||100x70x15 мм|225 г|||||||
"Seagate Enterprise Performance 15K 2.5"" ST600MP0005 ST600MP0005"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS|128 МБ|15000 об/мин|3 шт|2 мс|5.3 Вт|40 G||2 млн. ч|5 лет|8.7 Вт|||||||100x70x15 мм|230 г|||||||
Seagate Constellation ES.2 ST33000651SS ST33000651SS|встраиваемый|HDD|для сервера|3000 ГБ|"3.5 """|SAS|64 МБ|7200 об/мин||9 мс|7.4 Вт|40 G||1.2 млн. ч|5 лет|11.3 Вт|||||||147x102x26 мм|700 г|||||||
"Seagate Savvio 15K.3 2.5"" ST9300653SS ST9300653SS"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS|64 МБ|15000 об/мин|2 шт|3 мс|4.23 Вт|60 G||||7.92 Вт|||||||70x100x7 мм|200 г|||||||
"Seagate Savvio 15K.3 2.5"" ST9146853SS ST9146853SS"|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS|64 МБ|15000 об/мин|1 шт|3 мс|3.86 Вт|60 G||||7.41 Вт|||||||70x100x7 мм|193 г|||||||
Seagate Exos 7E8 ST8000NM0055 ST8000NM0055|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||4 мс|9 Вт|40 G||2 млн. ч|5 лет|10 Вт|||||||147x102x26 мм|780 г|||249 МБ/с||||
"Dell SAS 2.5"" 400-26662 400-26662"|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Dell SATA 400-AEFB 400-AEFB|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|||||||||||||||||||||||
Dell SATA 400-AEGG 400-AEGG|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|64 МБ|7200 об/мин|||||||||||||||||||||||
Dell SAS 400-AEGI 400-AEGI|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 400-AGFU 400-AGFU|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 400-AHJD 400-AHJD|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"Dell SAS 2.5"" 400-AHLP 400-AHLP"|встраиваемый|HDD|для сервера|2000 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"Dell SATA 2.5"" 400-AHLZ 400-AHLZ"|встраиваемый|HDD|для сервера|2000 ГБ|"2.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
Dell SAS 400-AJSC 400-AJSC|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Dell SAS DY635 DY635|встраиваемый|HDD|для сервера|146 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин||5 мс|||||||||||||||||||||
Dell SAS HR200 HR200|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
Dell SAS M8034 M8034|встраиваемый|HDD|для сервера|146 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин|||||||||||||||||||||||
Dell SAS RY491 RY491|встраиваемый|HDD|для сервера|146 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин||5 мс|||||||||||||||||||||
"HP Server SATA 2.5"" 458924-B21 458924-B21"|встраиваемый|HDD|для сервера|120 ГБ|"2.5 """|SATA||5400 об/мин|||||||||||||||||||||||
"HP MSA SATA 2.5"" 480942-002 480942-002"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SATA, SATA 2||7200 об/мин||9 мс|||||||||||||||||||||
"HP Server SATA 2.5"" 488410-001 488410-001"|встраиваемый|HDD|для сервера|120 ГБ|"2.5 """|SATA||5400 об/мин|||||||||||||||||||||||
HP Server SAS 516830-B21 516830-B21|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
HP Server SAS 517350-001 517350-001|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS||15000 об/мин||4 мс||||1.7 млн. ч|||||||||||||||||
HP Server SAS 583717-001 583717-001|встраиваемый|HDD|для сервера|450 ГБ|"3.5 """|SAS||15000 об/мин||4 мс|||||||||||||||||||||
Dell SAS 400-AEEG 400-AEEG|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS||10000 об/мин|||||||||||||||||||||||
