|Серия|Кодовое название|Разъем (Socket)|Техпроцесс|Тактовая частота|Тепловыделение (TDP)|Поддержка инструкций|Множитель|Макс. рабочая температура|Кол-во ядер|Кэш 1-го уровня L1|Кэш 2-го уровня L2|Кол-во потоков|Модель IGP|Частота системной шины|Кэш 3-го уровня L3|Макс. объем ОЗУ|Макс. частота DDR3|Число каналов|Маркировка производителя|Частота TurboBoost / TurboCore|Комплектация|Свободный множитель|кэш 1-го уровня L1|кэш 2-го уровня L2|кэш 3-го уровня L3|Многопоточность|Поддержка PCI Express|Макс. частота DDR4|Тепловыделение Max (TDP)|Макс. частота DDR5|Performance-core Base|Efficient-core Base|Частота TurboBoost Max 3.0|Performance-core Max|Efficient-core Max|Performance|Efficient|Тест Passmark CPU Mark|Тест Geekbench 4|Тест Cinebench R15|1-го уровня L1|2-го уровня L2|3-го уровня L3|Макс. объем|Комплектуется кулером|Код EAN / UPS / GTIN
AMD Opteron 2356|Opteron|Barcelona|AMD S1207|65 нм|2.3 ГГц|75 Вт|MMX, SSE, SSE2, SSE3, SSE4, 3DNow||76 °С|4 cores||||||||||||||128 КБ|2048 КБ|2 МБ|||||||||||||||||||||
Intel Xeon E5 E5-2440|Xeon|Sandy Bridge|Intel LGA 1356|32 нм|2.4 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4||70 °С|6 cores|||12 threads|отсутствует|7.2 ГТ/с||384 ГБ|1333 МГц|3 шт||2.9 ГГц|||64 КБ|1024 КБ|15 МБ|Есть||||||||||||||||||||
AMD Athlon II 750K|Athlon II|Trinity|AMD FM2|32 нм|3.4 ГГц|100 Вт|MMX, SSE, SSE2, SSE3, SSE4, 3DNow|||4 cores||||||||||||||128 КБ|4096 КБ||||||||||||||||||||||
Intel Core i3 Haswell i3-4150 BOX|Core i3|Haswell|Intel LGA 1150|22 нм|3.5 ГГц|54 Вт|MMX, SSE, SSE2, SSE3, SSE4|35|72 °С|2 cores|||4 threads|HD Graphics 4400|5 ГТ/с||32 ГБ|1600 МГц|2 шт|BX80646I34150||BOX (с кулером)||64 КБ|512 КБ|3 МБ|Есть||||||||||||||||||||
Intel Xeon Platinum 8176|Xeon|Skylake|Intel LGA 3647|14 нм|2.1 ГГц|165 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|21|89 °С|28 cores|||56 threads|отсутствует|10.4 ГТ/с||768 ГБ||6 шт||3.8 ГГц|||1792 КБ|28672 КБ|38.5 МБ|Есть|3.0|2666 МГц||||||||||||||||||
Intel Celeron Comet Lake G5920 OEM|Celeron|Comet Lake|Intel LGA 1200|14 нм|3.5 ГГц|58 Вт|SSE4.1, SSE4.2|35|100 °С|2 cores|||2 threads|UHD Graphics 610|8 ГТ/с||128 ГБ||2 шт|CM8070104292010||OEM (без коробки)||||2 МБ||3.0|2666 МГц||||||||||||||||||
Intel Xeon W-1000 W-1290 BOX|Xeon|Comet Lake|Intel LGA 1200|14 нм|3.2 ГГц|80 Вт|SSE4.1, SSE4.2, AVX2||100 °С|10 cores|||20 threads|UHD Graphics P630|8 ГТ/с||128 ГБ||2 шт|BX80701W1290|5.2 ГГц|BOX (без кулера)||||20 МБ|Есть|3.0|2933 МГц||||||||||||||||||
Intel Core 2 Quad Q6600|Core 2 Quad|Kentsfield|Intel LGA 775|65 нм|2.4 ГГц|105 Вт|MMX, SSE, SSE2, SSE3|9|71 °С|4 cores||||||||||||||64 КБ|8192 КБ||||||||||||||||||||||
Intel Xeon 5000 Sequence E5630|Xeon|Westmere-EP|Intel LGA 1366|32 нм|2.53 ГГц|80 Вт|MMX, SSE, SSE2, SSE3, SSE4|19|78 °С|4 cores|||4 threads|отсутствует|||288 ГБ|1066 МГц|3 шт|BX80614E5630||||64 КБ|1024 КБ|12 МБ|||||||||||||||||||||
Intel Celeron E E1500|Celeron|Conroe|Intel LGA 775|65 нм|2.2 ГГц|65 Вт|||73 °С|2 cores|||2 threads|отсутствует||||||BX80557E1500, HH80557PG049D|||||512 КБ||||||||||||||||||||||
AMD Ryzen Threadripper 7000 7980X BOX|Ryzen Threadripper|Storm Peak (Zen 4)|AMD TR5|5 нм|3.2 ГГц|350 Вт|AES, AMD-V, AVX, AVX2, AVX512, FMA3, MMX(+), SHA, SSE, SSE4.2, SSE4A|||64 cores|||128 threads|отсутствует|||||4 шт|100-100001350WOF|5.1 ГГц||Есть|||256 МБ|Есть|5.0 / x48 /|||5200 МГц||||||||||||||||
AMD Ryzen Threadripper 7000 7970X OEM|Ryzen Threadripper|Storm Peak (Zen 4)|AMD TR5|5 нм|4 ГГц|350 Вт|AES, AMD-V, AVX, AVX2, AVX512, FMA3, MMX(+), SHA, SSE, SSE4.2, SSE4A|||32 cores|||64 threads|отсутствует|||||4 шт|100-000001351|5.3 ГГц||Есть|||128 МБ|Есть|5.0 / x48 /|||5200 МГц||||||||||||||||
Intel Xeon W-2200 W-2265|Xeon|Cascade Lake|Intel LGA 2066|14 нм|3.5 ГГц|165 Вт||35||12 cores|||24 threads|отсутствует|||1000 ГБ||4 шт|CD8069504393400|4.6 ГГц||Есть|||19.25 МБ|Есть||2933 МГц|||||4.8 ГГц|||||||||||||
Intel Core i7 Sandy Bridge-E i7-3820|Core i7|Sandy Bridge-E|Intel LGA 2011|32 нм|3.6 ГГц|130 Вт|MMX, SSE, SSE2, SSE3, SSE4||67 °С|4 cores|||8 threads|отсутствует|5 ГТ/с||64 ГБ|1600 МГц|4 шт|BX80619I73820|3.9 ГГц|||128 КБ|1024 КБ|10 МБ|Есть||||||||||||||||||||
Intel Xeon E5 v2 E5-2640 v2|Xeon|Ivy Bridge-EP|Intel LGA 2011|22 нм|2 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, F16C / EM64T, NX, XD, VT-x, VT-d, TBT 2.0, TXT, HT /|20|75 °С|8 cores|||8 threads|||||||BX80635E52640V2, CM8063501288202||||512 КБ|2048 КБ|20 МБ|||||||||||||||||||||
Intel Xeon Platinum 8260Y|Xeon|Cascade Lake|Intel LGA 3647|14 нм|2.4 ГГц|165 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /||90 °С|24 cores|||48 threads|отсутствует|||1000 ГБ||6 шт|CD8069504200902|3.9 ГГц|||||35.75 МБ|Есть||2933 МГц||||||||||||||||||
Intel Xeon Platinum 8276L|Xeon|Cascade Lake|Intel LGA 3647|14 нм|2.2 ГГц|165 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /||89 °С|28 cores|||56 threads|отсутствует|||4500 ГБ||6 шт|CD8069504195301|4 ГГц|||||38.5 МБ|Есть||2933 МГц||||||||||||||||||
Intel Xeon Platinum 8276M|Xeon|Cascade Lake|Intel LGA 3647|14 нм|2.2 ГГц|165 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /||89 °С|28 cores|||56 threads|отсутствует|||2000 ГБ||6 шт|CD8069504195401|4 ГГц|||||38.5 МБ|Есть||2933 МГц||||||||||||||||||
Intel Xeon E7 v4 E7-8880 v4|Xeon|Broadwell|Intel LGA 2011|14 нм|2.2 ГГц|150 Вт|AVX2|22|77 °С|22 cores|||44 threads|отсутствует|9.6 ГТ/с||3000 ГБ|1600 МГц|4 шт|CM8066902325500|3.3 ГГц|||||55 МБ|Есть||1866 МГц||||||||||||||||||
AMD Ryzen Threadripper 7000 7960X BOX|Ryzen Threadripper|Storm Peak (Zen 4)|AMD TR5|5 нм|4.2 ГГц|350 Вт|AES, AMD-V, AVX, AVX2, AVX512, FMA3, MMX(+), SHA, SSE, SSE4.2, SSE4A|||24 cores|||48 threads|отсутствует|||||4 шт|100-100001352WOF|5.3 ГГц||Есть|||128 МБ|Есть|5.0 / x48 /|||5200 МГц||||||||||||||||
AMD Ryzen Threadripper 7000 7980X OEM|Ryzen Threadripper|Storm Peak (Zen 4)|AMD TR5|5 нм|3.2 ГГц|350 Вт|AES, AMD-V, AVX, AVX2, AVX512, FMA3, MMX(+), SHA, SSE, SSE4.2, SSE4A|||64 cores|||128 threads|отсутствует|||||4 шт|100-000001350|5.1 ГГц||Есть|||256 МБ|Есть|5.0 / x48 /|||5200 МГц||||||||||||||||
AMD Ryzen Threadripper 7000 7970X BOX|Ryzen Threadripper|Storm Peak (Zen 4)|AMD TR5|5 нм|4 ГГц|350 Вт|AES, AMD-V, AVX, AVX2, AVX512, FMA3, MMX(+), SHA, SSE, SSE4.2, SSE4A|||32 cores|||64 threads|отсутствует|||||4 шт|100-100001351WOF|5.3 ГГц||Есть|||128 МБ|Есть|5.0 / x48 /|||5200 МГц||||||||||||||||
AMD Ryzen 5 Phoenix 8500G BOX|Ryzen 5|Phoenix (Zen 4)|AMD AM5|4 нм|3.5 ГГц|65 Вт|AVX2, AVX512, FMA3, MMX(+), SHA, SSE, SSE2, SSE3, SSE4.1, SSE4.2||95 °С|6 cores|||12 threads|Radeon 740M|||256 ГБ||2 шт|100-100001491BOX|5 ГГц|BOX (с кулером)|Есть|||16 МБ|Есть|4.0|||5200 МГц||||||||||||||||
Intel Core i9 Raptor Lake Refresh 14900T OEM|Core i9|Raptor Lake Refresh|Intel LGA 1700|10 нм||35 Вт|SSE4.1, SSE4.2, AVX2||100 °С|24 cores|||32 threads|UHD Graphics 770|||192 ГБ||2 шт|CM8071504820406||OEM (без коробки)|Есть|||36 МБ|Есть|5.0|3200 МГц|106 Вт|5600 МГц|1.1 ГГц|0.8 ГГц|5.5 ГГц|5.1 ГГц|4 ГГц|8 cores|16 cores|||||||||
Intel Xeon E5 E5-2670|Xeon|Sandy Bridge|Intel LGA 2011|32 нм|2.6 ГГц|115 Вт|MMX, SSE, SSE2, SSE3, SSE4||82 °С|8 cores|||16 threads|отсутствует|8 ГТ/с||384 ГБ|1600 МГц|4 шт||3.3 ГГц|||64 КБ|2048 КБ|20 МБ|Есть||||||||||||||||||||
Intel Core i3 Haswell i3-4130 BOX|Core i3|Haswell|Intel LGA 1150|22 нм|3.4 ГГц|54 Вт|MMX, SSE, SSE2, SSE3, SSE4|34|72 °С|2 cores|||4 threads|HD Graphics 4400|5 ГТ/с||32 ГБ|1600 МГц|2 шт|BX80646I34130, BXC80646I34130||BOX (с кулером)||64 КБ|512 КБ|3 МБ|Есть||||||||||||||||||||
Intel Xeon E5 v3 E5-4620 v3|Xeon|Haswell-EP|Intel LGA 2011 v3|22 нм|2 ГГц|105 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI|20|78 °С|10 cores|||20 threads|отсутствует|||768 ГБ||4 шт||2.6 ГГц|||640 КБ|2560 КБ|25 МБ|Есть||2133 МГц||||||||||||||||||
Intel Xeon Platinum 8253|Xeon|Cascade Lake|Intel LGA 3647|14 нм|2.2 ГГц|125 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /||87 °С|16 cores|||32 threads|отсутствует|||1000 ГБ||6 шт|CD8069504194601|3 ГГц|||||22 МБ|Есть||2933 МГц||||||||||||||||||
AMD Genoa EPYC 9174F OEM|EPYC|Genoa (Zen 4)|AMD SP5|5 нм|4.1 ГГц|320 Вт||||16 cores|||32 threads|отсутствует|||||12 шт|100-000000796|4.4 ГГц|OEM (без коробки)|||16384 КБ|256 МБ|Есть|5.0 / x128 /||400 Вт|4800 МГц||||||||55485 балл(ов)||||||||
AMD Genoa EPYC 9654P OEM|EPYC|Genoa (Zen 4)|AMD SP5|5 нм|2.4 ГГц|320 Вт||||96 cores|||192 threads|отсутствует|||||12 шт|100-000000803|3.7 ГГц|OEM (без коробки)|||98304 КБ|384 МБ|Есть|5.0 / x128 /||400 Вт|4800 МГц||||||||94295 балл(ов)||||||||
AMD Genoa EPYC 9354 OEM|EPYC|Genoa (Zen 4)|AMD SP5|5 нм|3.25 ГГц|240 Вт||||32 cores|||64 threads|отсутствует|||||12 шт|100-000000798|3.8 ГГц|OEM (без коробки)||||256 МБ|Есть|5.0 / x128 /||300 Вт|4800 МГц||||||||||||||||
AMD Ryzen Threadripper Pro 7000 7975WX OEM|Ryzen Threadripper|Storm Peak (Zen 4)|AMD TR5|5 нм|4 ГГц|350 Вт|AVX512, FMA3, MMX(+), SHA, SSE, SSE2, SSE3, SSE4.1, SSE4.2, SSE4A||95 °С|32 cores|||64 threads|отсутствует|||||8 шт|100-000000453|5.3 ГГц||Есть|2048 КБ|32768 КБ|128 МБ|Есть|5.0 / x148 /|||5200 МГц||||||||100760 балл(ов)||||||||
Intel Core i7 Haswell-E i7-5960X BOX|Core i7|Haswell-E|Intel LGA 2011 v3|22 нм|3 ГГц|140 Вт|SSE4.2, AVX 2.0, AES|30|67 °С|8 cores|||16 threads|отсутствует|5 ГТ/с||64 ГБ|1600 МГц|4 шт|BX80648I75960X, BXC80648I75960X|3.5 ГГц|BOX (без кулера)|Есть|256 КБ|2048 КБ|20 МБ|Есть||2133 МГц||||||||||||||||||
Intel Core i3 Skylake i3-6100T BOX|Core i3|Skylake|Intel LGA 1151|14 нм|3.2 ГГц|35 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI / BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, VT-d /|32|66 °С|2 cores|||4 threads|HD Graphics 530|8 ГТ/с||64 ГБ|1600 МГц|2 шт|BX80662I36100T||BOX (с кулером)||64 КБ|512 КБ|3 МБ|Есть|3.0|2133 МГц||||||||||||||||||
Intel Xeon E5 v3 E5-1620 v3|Xeon|Haswell-EP|Intel LGA 2011 v3|22 нм|3.5 ГГц|140 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, VT-d, TBT 2.0, TXT /|35|66 °С|4 cores|||8 threads|отсутствует|||768 ГБ||4 шт||3.6 ГГц|||256 КБ|1024 КБ|10 МБ|Есть||2133 МГц||||||||||||||||||
Intel Core 2 Quad Q9300|Core 2 Quad|Yorkfield|Intel LGA 775|45 нм|2.5 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSE4|8|72 °С|4 cores||||||||||||||64 КБ|6144 КБ||||||||||||||||||||||
Intel Core i3 Raptor Lake Refresh 14100F BOX|Core i3|Raptor Lake Refresh|Intel LGA 1700|10 нм||58 Вт|SSE4.1, SSE4.2, AVX2||100 °С|4 cores|||8 threads|отсутствует|||192 ГБ||2 шт|BX8071514100F|4.7 ГГц|BOX (с кулером)||||12 МБ|Есть|5.0|3200 МГц|110 Вт|4800 МГц|3.5 ГГц|||||4 cores||||||||||
Intel Pentium Ivy Bridge G2030|Pentium|Ivy Bridge|Intel LGA 1155|22 нм|3 ГГц|55 Вт|MMX, SSE, SSE2, SSE3, SSE4.1, SSE4.2|30||2 cores|||2 threads|отсутствует|5 ГТ/с||32 ГБ|1333 МГц|2 шт|||||64 КБ|512 КБ|3 МБ|||||||||||||||||||||
AMD Genoa EPYC 9354P OEM|EPYC|Genoa (Zen 4)|AMD SP5|5 нм|3.25 ГГц|240 Вт||||32 cores|||64 threads|отсутствует|||||12 шт|100-000000805|3.8 ГГц|OEM (без коробки)|||32768 КБ|256 МБ|Есть|5.0 / x128 /||300 Вт|4800 МГц||||||||||||||||
Intel Pentium Ivy Bridge G2020|Pentium|Ivy Bridge|Intel LGA 1155|22 нм|2.9 ГГц|55 Вт|MMX, SSE, SSE2, SSE3, SSE4.1, SSE4.2|29||2 cores|||2 threads|отсутствует|5 ГТ/с||32 ГБ|1333 МГц|2 шт|||||64 КБ|512 КБ|3 МБ|||||||||||||||||||||
Intel Core i5 Devils Canyon i5-4690K|Core i5|Devil's Canyon|Intel LGA 1150|22 нм|3.5 ГГц|88 Вт|MMX, SSE, SSE2, SSE3, SSE4.1, SSE4.2|35|73 °С|4 cores|||4 threads|HD Graphics 4600|5 ГТ/с||32 ГБ|1600 МГц|2 шт||3.9 ГГц||Есть|128 КБ|1024 КБ|6 МБ|||||||||||||||||||||
Intel Core i3 Raptor Lake Refresh 14100 BOX|Core i3|Raptor Lake Refresh|Intel LGA 1700|10 нм||60 Вт|SSE4.1, SSE4.2, AVX2||100 °С|4 cores|||8 threads|UHD Graphics 730|||192 ГБ||2 шт|BX8071514100|4.7 ГГц|BOX (с кулером)||||12 МБ|Есть|5.0|3200 МГц|120 Вт|4800 МГц|3.5 ГГц|||||4 cores||||||||||
Intel Core i3 Comet Lake i3-10300 BOX|Core i3|Comet Lake|Intel LGA 1200|14 нм|3.7 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2|37|100 °С|4 cores|||8 threads|UHD Graphics 630|8 ГТ/с||128 ГБ||2 шт|BX8070110300, BXC8070110300|4.4 ГГц|BOX (с кулером)||||8 МБ|Есть|3.0|2666 МГц||||||||||9381 балл(ов)|19651 балл(ов)|885 балл(ов)||||||
Intel Xeon E-2100 E-2146G|Xeon|Coffee Lake|Intel LGA 1151 v2|14 нм|3.6 ГГц|80 Вт|MMX, EMMX, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, AVX, AVX2, ABM / BMI1, BMI2, FMA3, AES, ADX /|||6 cores|||12 threads|HD Graphics P630|8 ГТ/с||128 ГБ||2 шт|CM8068403380116|4.5 ГГц|||386 КБ|1536 КБ|12 МБ|Есть|3.0|2666 МГц||||||||||||||||||
Intel Xeon Gold 6140 OEM|Xeon|Skylake|Intel LGA 3647|14 нм|2.3 ГГц|140 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|23|91 °С|18 cores|||36 threads|отсутствует|10.4 ГТ/с||768 ГБ||6 шт|CD8067303405200|3.7 ГГц|OEM (без коробки)||1158 КБ|18432 КБ|24.75 МБ|Есть|3.0|2666 МГц||||||||||||||||||
Intel Xeon E-2200 E-2288G|Xeon|Coffee Lake|Intel LGA 1151 v2||3.7 ГГц|95 Вт|SSE4.1, SSE4.2, AVX2|14|100 °С|8 cores|||16 threads|UHD Graphics P630|||128 ГБ||2 шт|CM8068404224102|5 ГГц|||||16 МБ|Есть|3.0|2666 МГц||||||||||||||||||
Intel Core i5 Coffee Lake i5-8600 BOX|Core i5|Coffee Lake|Intel LGA 1151 v2|14 нм|3.1 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, VT-d, MPX, SGX /|31||6 cores|||6 threads|UHD Graphics 630|8 ГТ/с||128 ГБ||2 шт|BX80684I58600|4.3 ГГц|BOX (с кулером)||||9 МБ||3.0|2666 МГц||||||||||12644 балл(ов)|20315 балл(ов)|959 балл(ов)||||||
AMD Ryzen Threadripper Pro 7000 7965WX BOX|Ryzen Threadripper|Storm Peak (Zen 4)|AMD TR5|5 нм|4.2 ГГц|350 Вт|AVX512, FMA3, MMX(+), SHA, SSE, SSE2, SSE3, SSE4.1, SSE4.2, SSE4A||95 °С|24 cores|||48 threads|отсутствует|||||8 шт|100-100000885WOF|5.3 ГГц||Есть|1536 КБ|24576 КБ|128 МБ|Есть|5.0 / x148 /|||5200 МГц||||||||84785 балл(ов)||||||||
Intel Xeon E5 v4 E5-4627 v4|Xeon|Broadwell|Intel LGA 2011 v3|14 нм|2.6 ГГц|135 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2, BMI / BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, VT-d, TXT, TSX, TBT 2.0 /|26|82 °С|10 cores|||10 threads|отсутствует|8 ГТ/с||1536 ГБ||4 шт||3.2 ГГц|||640 КБ|2560 КБ|25 МБ|||2400 МГц||||||||||||||||||
Intel Xeon Gold 6132 OEM|Xeon|Skylake|Intel LGA 3647|14 нм|2.6 ГГц|140 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|26|86 °С|14 cores|||28 threads|отсутствует|10.4 ГТ/с||768 ГБ||6 шт|CD8067303592500|3.7 ГГц|OEM (без коробки)||896 КБ|14336 КБ|19.25 МБ|Есть|3.0|2666 МГц||||||||||||||||||
Intel Xeon Gold 6144 OEM|Xeon|Skylake|Intel LGA 3647|14 нм|3.5 ГГц|150 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|35|75 °С|8 cores|||16 threads|отсутствует|10.4 ГТ/с||768 ГБ||6 шт|CD8067303657302, CD8067303843000|4.2 ГГц|OEM (без коробки)||512 КБ|8192 КБ|24.75 МБ|Есть|3.0|2666 МГц||||||||||||||||||
Intel Xeon E5 E5-2643|Xeon|Sandy Bridge|Intel LGA 2011|32 нм|3.3 ГГц|130 Вт|MMX, SSE, SSE2, SSE3, SSE4.1, SSE4.2|35|73 °С|4 cores|||8 threads|отсутствует|8 ГТ/с||384 ГБ|1600 МГц|4 шт||3.5 ГГц|||64 КБ|512 КБ|10 МБ|Есть||||||||||||||||||||
Intel Core 2 Duo E8500|Core 2 Duo|Wolfdale|Intel LGA 775|45 нм|3.16 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSE4|10|73 °С|2 cores||||||||||||||64 КБ|6144 КБ||||||||||||||||||||||
Intel Xeon E5 v2 E5-2670 v2|Xeon|Ivy Bridge-EP|Intel LGA 2011|22 нм|2.5 ГГц|115 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, F16C|25|82 °С|10 cores|||20 threads|отсутствует|8 ГТ/с||768 ГБ|1866 МГц|4 шт||3.3 ГГц|||640 КБ|2560 КБ|25 МБ|Есть||||||||||||||||||||
AMD Ryzen Threadripper Pro 7000 7965WX OEM|Ryzen Threadripper|Storm Peak (Zen 4)|AMD TR5|5 нм|4.2 ГГц|350 Вт|AVX512, FMA3, MMX(+), SHA, SSE, SSE2, SSE3, SSE4.1, SSE4.2, SSE4A||95 °С|24 cores|||48 threads|отсутствует|||||8 шт|100-000000885|5.3 ГГц||Есть|1536 КБ|24576 КБ|128 МБ|Есть|5.0 / x148 /|||5200 МГц||||||||84785 балл(ов)||||||||
Intel Core i5 Raptor Lake Refresh 14600 OEM|Core i5|Raptor Lake Refresh|Intel LGA 1700|10 нм||65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|14 cores|||20 threads|UHD Graphics 770|||192 ГБ||2 шт|CM8071504821018||OEM (без коробки)||||24 МБ|Есть|5.0|3200 МГц|154 Вт|5600 МГц|2.7 ГГц|2 ГГц||5.2 ГГц|3.9 ГГц|6 cores|8 cores|||||||||
Intel Core i7 Kaby Lake i7-7700 OEM|Core i7|Kaby Lake|Intel LGA 1151|14 нм|3.6 ГГц|65 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, TBT 2.0, TXT, TSX, MPX, SGX /|36|100 °С|4 cores|||8 threads|HD Graphics 630|8 ГТ/с||64 ГБ|1600 МГц|2 шт|CM8067702868314|4.2 ГГц|OEM (без коробки)||256 КБ|1024 КБ|8 МБ|Есть|3.0|2400 МГц||||||||||10736 балл(ов)|19308 балл(ов)|857 балл(ов)||||||
Intel Xeon Gold 5122 BOX|Xeon|Skylake|Intel LGA 3647|14 нм|3.6 ГГц|105 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|36|71 °С|4 cores|||8 threads|отсутствует|10.4 ГТ/с||768 ГБ||6 шт|BX806735122|3.7 ГГц|BOX (без кулера)||256 КБ|4096 КБ|16.5 МБ|Есть|3.0|2666 МГц||||||||||||||||||
Intel Xeon Gold 6134 BOX|Xeon|Skylake|Intel LGA 3647|14 нм|3.2 ГГц|130 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|32|79 °С|8 cores|||16 threads|отсутствует|10.4 ГТ/с||768 ГБ||6 шт|BX806736134|3.7 ГГц|BOX (без кулера)||512 КБ|8192 КБ|24.75 МБ|Есть|3.0|2666 МГц||||||||||||||||||
Intel Xeon Gold 6138 BOX|Xeon|Skylake|Intel LGA 3647|14 нм|2 ГГц|125 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|20|86 °С|20 cores|||40 threads|отсутствует|10.4 ГТ/с||768 ГБ||6 шт|BX806736138|3.7 ГГц|BOX (без кулера)||1280 КБ|20480 КБ|27.5 МБ|Есть|3.0|2666 МГц||||||||||||||||||
Intel Xeon Gold 6148 BOX|Xeon|Skylake|Intel LGA 3647|14 нм|2.4 ГГц|150 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|24|86 °С|20 cores|||40 threads|отсутствует|10.4 ГТ/с||768 ГБ||6 шт|BX806736148|3.7 ГГц|BOX (без кулера)||1280 КБ|20480 КБ|27.5 МБ|Есть|3.0|2666 МГц||||||||||||||||||
Intel Xeon Gold 6154 OEM|Xeon|Skylake|Intel LGA 3647|14 нм|3 ГГц|200 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / AVX-512, BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TXT, TSX /|30|82 °С|18 cores|||36 threads|отсутствует|10.4 ГТ/с||768 ГБ||6 шт|CD8067303592700|3.7 ГГц|OEM (без коробки)||1158 КБ|18432 КБ|24.75 МБ|Есть|3.0|2666 МГц||||||||||||||||||
